2026-08-19 16:07:51 | INFO     | MainThread           | [SEEK REQUEST CREATED] generation=2
2026-08-19 16:07:51 | INFO     | SeekWorker           | [SEEK START] generation=2 frame=44996
2026-08-19 16:07:51 | INFO     | MainThread           | [PLAYBACK SEEK RETURNED] gen_after=2
2026-08-19 16:07:51 | INFO     | MainThread           | [STREAM SEEK RETURNED]
2026-08-19 16:07:52 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': True, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 35, 'audio_clock': 68608}
2026-08-19 16:07:53 | INFO     | SeekWorker           | [ON SEEK COMPLETE] gen=2 window_start=41244
2026-08-19 16:07:53 | INFO     | SeekWorker           | [ON SEEK COMPLETE FINISHED]
2026-08-19 16:07:53 | INFO     | SeekWorker           | [SEEK END] generation=2 frame=44996
2026-08-19 16:07:54 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 35, 'audio_clock': 68608}
2026-08-19 16:07:56 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 67, 'audio_clock': 129024}
2026-08-19 16:07:58 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:00 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:02 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:04 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:06 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:08 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:10 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:12 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:14 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:16 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:18 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:20 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:22 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
